"fullName","parkCode","Entrance_Fee_Per_Vehicle","Entrance_Fee_Per_Person","Entrance_Fee_Per_Motorcycle","Timed_Entry_Required","Cost_Description"
"Acadia National Park","acad",35,20,30,TRUE,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 9 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system. | Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. | School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups. | Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.

Adults (16 years old and over): $20/per person
Youth (15 years old and under): Free | Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.

A commercial group is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provisions of the service. Learn more on our ""Do Business With Us"" page. | Each non-US resident aged 16 and older visiting Acadia National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless they are admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Arches National Park","arch",30,15,25,TRUE,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
"Badlands National Park","badl",30,15,25,FALSE,"Fee covers the entry of a private vehicle and its occupants for 7 days | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days | Commercial sedan, 1 to 6 passenger capacity. $25 plus $15 per person - 7 days for Original Manifest | Commercial van, 7 to 15 passenger capacity; $50 - 7 days for Original Manifest | Minibus, 16 to 25 passenger capacity; $60 - 7 days for Original Manifest | Motorcoach, 26 or more passenger capacity; $150 - 7 days for Original Manifest"
"Big Bend National Park","bibe",30,15,25,FALSE,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days. | Admits one individual. Typically used for bicyclists and pedestrians; valid for 7 days. | Companies conducting business in the park are required to obtain a commercial use authorization. The only exception is companies travelling in a 26-person capacity or greater vehicle; such vehicles are charged a flat fee of $200 (commercial use authorization not required). | Organized groups such as Scouts, clubs, etc. that do not qualify for an academic fee waiver are charged as follows:
$30 per non-commercial vehicle with a capacity of 15 or less.
$15 per person traveling in a non-commercial vehicle with a capacity of 16 or more. Fees will not exceed the commercial rate for the same sized vehicle. Youth 15 and younger are free. Individuals or families with a valid annual or lifetime pass may use their pass for themselves and up to 3 others. | This fee is valid for seven consecutive days. A commercial use authorization is required.

https://www.nps.gov/bibe/learn/management/cua.htm | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per client.
This fee is valid for seven consecutive days. A commercial use authorization is required. | Valid for 7 days. Admits up to 1 private, non-commercial motorcycle with up to 2 total passengers."
"Biscayne National Park","bisc",NA,NA,NA,FALSE,""
"Black Canyon Of The Gunnison National Park","blca",30,15,25,FALSE,"7-Day Vehicle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | 7-Day Individual Pass (pedestrian or bicycle) | Commercial tour fee for vehicle/bus with seating capacity of 1-6 persons.  Fee is $25.00 per vehicle plus $7.00 per passenger. | Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle. | Commercial tour fee for vehicle/bus with seating capacity of 26 or more.  Fee is $100.00 per vehicle. | Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers. | Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per-person rate. Pass and photo ID must be presented upon entry."
"Bryce Canyon National Park","brca",35,20,30,FALSE,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Admits one individual with no car to the park - typically used for bicyclists and walk-ins. Youth 15 and under are admitted free. | Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles t | Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day o

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles that can carry seven or more passengers regardless of the actual number of passengers. | Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles. | Each non-US resident aged 16 and older visiting Bryce Canyon National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Canyonlands National Park","cany",30,15,25,FALSE,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
"Capitol Reef National Park","care",20,10,15,FALSE,"An entrance fee is charged per vehicle. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Admits one individual with no car. Typically used for bicyclists and pedestrians. | Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef.

When visiting the park, the tour must then pay the separate entrance fee at the visitor center (or through pay.gov).

Tours with vehicle capacity of 15 or less should apply for a CUA in the ""Guided Interpretive Tours"" category. Tours of this size fall under the Guided Activities entry fee structure. | Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef National Park.

When visiting the park, the tour must then pay the separate entrance fee at the visitor center (or through pay.gov).

Vehicle capacity of 16 seats or greater: $100.00 entrance fee | Guided Activities include all types of guided services, such as bike and motorcycle tours, hiking guides, photography classes, hiking shuttles, and road-based commercial tours with vehicles <16 capacity.

Guided activity groups are charged the per person fee of $10.00 per client, excluding the trip leader or guide. If a client has an America the Beautiful Resident pass (annual, senior, access, etc.) it covers 4 people in the group. (Non-resident annual passes cover only the pass owner.)"
"Carlsbad Caverns National Park","cave",NA,15,NA,FALSE,"A timed entry reservation must be purchased to access Carlsbad Cavern. In addition, an entry pass must be purchased at the visitor center.

Time entry reservations ensure a more enjoyable experience and helps to protect the cave formations. | Entrance fee provides access to Carlsbad Cavern by elevator and hiking in. Ranger-guided tours are an additional fee and can be reserved on recreation.gov."
